spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
f16_p2_n31,Greater,1050,150,900,3.84,4.08,3.8435088888888886,0.13963530645892008,0.036330163529109706,3.52,4.241,1,[1],0.27,0.126,0.442,0.327,PASS,specs/f16_p2_n31/profile/PROF_000001_20260901003820565_QJFDNFILJBIQHABB/mindstudio_profiler_output/op_summary_20260901003836.csv
f16_p1_n33,Greater,1050,150,900,3.84,4.0,3.8386444444444443,0.08367294944685406,0.021797525313382807,3.62,4.18,1,[1],0.269,0.127,0.439,0.326,PASS,specs/f16_p1_n33/profile/PROF_000001_20260901003843579_OIRRRMCIEBIJIHOB/mindstudio_profiler_output/op_summary_20260901003859.csv
f16_p2_n33,Greater,1050,150,900,4.32,4.501,4.330587777777778,0.10018969821491165,0.023135357913544836,4.12,4.78,1,[1],0.311,0.111,0.414,0.31,PASS,specs/f16_p2_n33/profile/PROF_000001_20260901003906890_CDJEGNDAJQGAPEFB/mindstudio_profiler_output/op_summary_20260901003922.csv
f16_p1_n255,Greater,1050,150,900,3.5,3.82,3.5241233333333333,0.15107668880406405,0.042869296705676414,3.22,4.16,1,[1],0.361,0.141,0.488,0.182,PASS,specs/f16_p1_n255/profile/PROF_000001_20260901003929925_DEFPJEBQJGMRDJBC/mindstudio_profiler_output/op_summary_20260901003945.csv
f16_p2_n255,Greater,1050,150,900,3.56,3.76,3.5618911111111116,0.1197040022021398,0.03360686738253456,3.32,4.1,1,[1],0.349,0.139,0.491,0.2005,PASS,specs/f16_p2_n255/profile/PROF_000001_20260901003952912_JPJKCGMJJJBIQFQB/mindstudio_profiler_output/op_summary_20260901004008.csv
f16_p1_n257,Greater,1050,150,900,3.9,4.24,3.9271744444444443,0.16173823712070556,0.04118437808371555,3.62,4.66,1,[1],0.402,0.204,0.515,0.267,PASS,specs/f16_p1_n257/profile/PROF_000001_20260901004016268_DIBNAAJLNKJAKGHA/mindstudio_profiler_output/op_summary_20260901004031.csv
f16_p2_n257,Greater,1050,150,900,4.421,4.68,4.458268888888889,0.11209492469871177,0.025143150288238582,4.22,5.02,1,[1],0.233,0.358,0.693,0.217,PASS,specs/f16_p2_n257/profile/PROF_000001_20260901004039413_RDDLAFNMOGOKQIJB/mindstudio_profiler_output/op_summary_20260901004055.csv
f16_p1_n777,Greater,1050,150,900,4.0305,4.3,4.053508888888889,0.13361169663073372,0.0329619843679085,3.801,4.881,2,[2],0.407,0.205,0.547,0.196,PASS,specs/f16_p1_n777/profile/PROF_000001_20260901004103117_JGNGGKNOOHONLAHC/mindstudio_profiler_output/op_summary_20260901004118.csv
f16_p2_n777,Greater,1050,150,900,4.281,4.52,4.308417777777778,0.1103730186209754,0.025617993498741963,4.06,4.92,2,[2],0.34,0.258,0.645,0.172,PASS,specs/f16_p2_n777/profile/PROF_000001_20260901004126110_RGGKPGKAFMJGKNFC/mindstudio_profiler_output/op_summary_20260901004141.csv
f16_p1_n1000,Greater,1050,150,900,3.58,3.82,3.586241111111111,0.12629647958007775,0.0352169515844259,3.28,4.08,3,[3],0.372,0.1705,0.522,0.132,PASS,specs/f16_p1_n1000/profile/PROF_000001_20260901004149344_ARPFOKIJHMKDOELC/mindstudio_profiler_output/op_summary_20260901004204.csv
f16_p2_n1000,Greater,1050,150,900,3.8,4.0,3.797912222222222,0.11289099002309726,0.02972448635399026,3.52,4.32,3,[3],0.313,0.214,0.594,0.136,PASS,specs/f16_p2_n1000/profile/PROF_000001_20260901004212101_LPJPCGPFOHAOQQMA/mindstudio_profiler_output/op_summary_20260901004227.csv
f16_p1_n10000,Greater,1050,150,900,4.7,5.061,4.702566666666667,0.22033136912891504,0.04685342808443227,4.201,5.54,20,[20],0.348,0.16,0.732,0.145,PASS,specs/f16_p1_n10000/profile/PROF_000001_20260901004235081_AAFPJLHGDNQRLIBA/mindstudio_profiler_output/op_summary_20260901004249.csv
f16_p2_n10000,Greater,1050,150,900,5.06,5.441,5.0717566666666665,0.23266853798196838,0.04587533536676675,4.52,6.26,20,[20],0.359,0.17,0.706,0.134,PASS,specs/f16_p2_n10000/profile/PROF_000001_20260901004257307_OCCBFJRDHLRMAIIA/mindstudio_profiler_output/op_summary_20260901004312.csv
f16_p2_outer1,Greater,1050,150,900,2.68,2.9,2.6966433333333333,0.11262029869334288,0.041763142088995654,2.48,3.28,1,[1],0.306,0.105,0.689,0.139,PASS,specs/f16_p2_outer1/profile/PROF_000001_20260901004320338_PPGFOOIAHPLQLHBA/mindstudio_profiler_output/op_summary_20260901004334.csv
f16_p2_outer19,Greater,1050,150,900,3.361,3.58,3.3887577777777778,0.10382363890300578,0.030637668936931067,3.22,3.94,3,[3],0.265,0.221,0.659,0.136,PASS,specs/f16_p2_outer19/profile/PROF_000001_20260901004342154_BPECOJDFJHLAGEEB/mindstudio_profiler_output/op_summary_20260901004356.csv
f16_p2_outer20,Greater,1050,150,900,3.58,3.8,3.5835388888888886,0.1284591315853191,0.03584700363755481,3.3,4.14,3,[3],0.293,0.219,0.627,0.133,PASS,specs/f16_p2_outer20/profile/PROF_000001_20260901004404608_NQKEQMAQGJHAALMA/mindstudio_profiler_output/op_summary_20260901004418.csv
f16_p2_outer21,Greater,1050,150,900,3.521,3.741,3.5397922222222222,0.12929954088410184,0.03652743798700415,3.28,4.16,3,[3],0.268,0.232,0.646,0.135,PASS,specs/f16_p2_outer21/profile/PROF_000001_20260901004426394_NQDNLPPMORGIOPBC/mindstudio_profiler_output/op_summary_20260901004441.csv
f32_p2_n7,Greater,1050,150,900,4.34,4.52,4.343561111111111,0.10747543201892387,0.02474362148238107,4.1,4.781,1,[1],0.319,0.155,0.5,0.343,PASS,specs/f32_p2_n7/profile/PROF_000001_20260901004448480_LOJIGLROERNLHGAB/mindstudio_profiler_output/op_summary_20260901004502.csv
f32_p2_n31,Greater,1050,150,900,4.28,4.48,4.291491111111111,0.11106154914625242,0.025879477848317727,3.98,4.74,1,[1],0.421,0.158,0.513,0.338,PASS,specs/f32_p2_n31/profile/PROF_000001_20260901004509778_JOKOBAMLMBQBDCPA/mindstudio_profiler_output/op_summary_20260901004525.csv
f32_p2_n255,Greater,1050,150,900,3.421,3.74,3.44971,0.15978438009462073,0.04631820648536275,3.12,4.46,2,[2],0.331,0.13,0.558,0.188,PASS,specs/f32_p2_n255/profile/PROF_000001_20260901004532477_HRGCJMNFBQREQFEC/mindstudio_profiler_output/op_summary_20260901004546.csv
