spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
f32_p2_tiny_inner_big,Greater,1050,150,900,1981.079,1992.943,1981.6197122222222,6.679050449183588,0.0033705006101769075,1963.879,2008.32,40,[40],0.668,0.271,0.274,0.727,PASS,specs/f32_p2_tiny_inner_big/profile/PROF_000001_20260831191257768_OCOKILIIRQOMIHLB/mindstudio_profiler_output/op_summary_20260831191315.csv
bf16_same_big,Greater,1050,150,900,162.7165,163.807,162.72794000000002,0.6212396914056427,0.003817658426731406,161.087,165.246,40,[40],0.97,0.34,0.33,0.449,PASS,specs/bf16_same_big/profile/PROF_000001_20260831191322918_NGAFDKLICINRABDB/mindstudio_profiler_output/op_summary_20260831191340.csv
bf16_bouter,Greater,1050,150,900,18.441,19.44005,18.445017777777778,0.5862092873478204,0.03178144333664317,17.161,20.18,40,[40],0.638,0.62,0.674,0.17,PASS,specs/bf16_bouter/profile/PROF_000001_20260831191347860_HLBGHJJHCKJNNLOA/mindstudio_profiler_output/op_summary_20260831191402.csv
bf16_binner,Greater,1050,150,900,22.381,23.101,22.37209,0.45213839045387666,0.020209930786702388,21.401,23.601,40,[40],0.445,0.661,0.765,0.135,PASS,specs/bf16_binner/profile/PROF_000001_20260831191410136_HJHEJOCCICJLMIOB/mindstudio_profiler_output/op_summary_20260831191425.csv
i32_same_big,Greater,1050,150,900,161.386,162.32605,161.3991988888889,0.5742222657152976,0.003557776430542298,159.507,163.466,40,[40],0.978,0.285,0.256,0.473,PASS,specs/i32_same_big/profile/PROF_000001_20260831191432955_DQJQGRAPNHLQEOOB/mindstudio_profiler_output/op_summary_20260831191448.csv
i32_bouter,Greater,1050,150,900,29.601,30.781,29.58772,0.7415945923331546,0.025064269647446798,27.861,32.041,40,[40],0.588,0.682,0.551,0.145,PASS,specs/i32_bouter/profile/PROF_000001_20260831191456026_ERLREJDKMGICGLEC/mindstudio_profiler_output/op_summary_20260831191510.csv
i32_binner,Greater,1050,150,900,30.702,31.601,30.72583,0.5059991117581136,0.016468199939858864,29.481,32.241,40,[40],0.534,0.714,0.67,0.139,PASS,specs/i32_binner/profile/PROF_000001_20260831191518193_EBLKABIAKPOBNJRB/mindstudio_profiler_output/op_summary_20260831191534.csv
i8_same_big,Greater,1050,150,900,176.827,177.868,176.85384222222223,0.6153838653822832,0.0034796182975150446,175.227,179.327,40,[40],0.962,0.396,0.378,0.47,PASS,specs/i8_same_big/profile/PROF_000001_20260831191542389_NBONRENJGPKHKHNA/mindstudio_profiler_output/op_summary_20260831191558.csv
i8_bouter,Greater,1050,150,900,44.762,45.562,44.77221333333333,0.4664149404887362,0.010417509114776909,43.701,46.202,40,[40],0.427,0.763,0.765,0.165,PASS,specs/i8_bouter/profile/PROF_000001_20260831191606164_PHAJDCNODINEIALB/mindstudio_profiler_output/op_summary_20260831191620.csv
i8_binner,Greater,1050,150,900,43.721,44.56295,43.72524333333333,0.4980814231852281,0.011391164124306258,42.202,46.082,40,[40],0.453,0.728,0.862,0.171,PASS,specs/i8_binner/profile/PROF_000001_20260831191628375_OOABRQNOENQJAGPB/mindstudio_profiler_output/op_summary_20260831191643.csv
